Common name,Origin,First developed,Comment,Use
"Champion, (syn. Shampion, Sampion)",Czechoslovakia,1960,"A cross between Golden Delicious and a Cox Orange Pippin. Attractive color. This tree bears attractive fruit, extra-large sized, deep red, juicy, and crisp. Keeps fresh for a long time. Starts bearing at a young age. Harvest time is October.","Eating, Juice"
Charlamoff,Russia,1880,"Yellow with red flush. Tree small. Flesh white, coarse, juicy, subacid, good. Pick and use August.",Eating
Charlamowsky see Duchess of Oldenburg,,,,
Charles Eyre,England,Introduced 1911,"A greenish-yellow apple. W 102, H 90. Stalk short. Flesh white, soft, dry, acid. Pick mid September. Use September - November.","Cooking, Pie"
Charles Ross,England,1890,"FCC from RHS in 1899. Orange to red. W 80, H 70. Stalk 10 mm. Best cooked early in season. Good flavor, and sweet when eaten later in season. Pick mid September. Use October - December.",Multi-purpose
Chaxhill Red,England,1873,"A roundish oblate red apple. H 52, W 63. Stalk short and stout.","Eating, Cider"
Cheddar Cross,England,1916,"Green Apple with red flush. H 50, W 60. Flesh yellow ,juicy, sharp.",Eating
Cheese,Pa. US,1870,"Flesh white, tender, subacid. Good. Tree vigorous, bears annually. Use November - February.",Eating
Cheeseborough,US,1840,"One of the largest and one of the poorest of the russet apples. Flesh dry, subacid, sweet. Use November - December.",Cooking
Chelmsford Wonder,England,1870,"A large long keeping yellow-skinned apple with diffuse orange pink flush. FCC from RHS in 1891. [1]. H 61, W 75. Pick October. Use November - February. Still grown in Essex orchards including Lathcoats Farm Shop.",Cooking
Chenango,N.Y. US,1850,"W 72, H 72. Stalk 14 mm. Flesh white, firm, tender, juicy, mild subacid, aromatic, good to very good. Use September - October.",Eating
Chester(syn. Chester Redstreak),US,1850,"Medium size. Flesh white, tender, juicy, subacid, aromatic. Use November - December.",Eating
Chestnut,US,Introduced 1946,"P Malinda x unknown. Flesh nutlike flavor. Tree vigorous, productive.",
Chiver's Delight,England,1920,"Medium to large oblate apple. Red flush over greenish yellow skin. Crisp, juicy, sweet white flesh. Flavor can be variable but at its best is very well balanced. Grown by Chivers (now a brand of Premier Foods) for apple sauce.",Multi-purpose
Chorister Boy,England,1890,"A yellow apple with red flush. W 66, H 60. Stalk medium. Flesh white, juivy, subacid. Pick late September. Use November - December.",Eating
Christmas Pearmain,England,1893,"A yellow apple with red flush(50-75%). W 63, H 67. Stalk short. Flesh yellow, crisp, subacid, aromatic. Pick early October. Use November - January.",Eating
Clarke(sy. Clarke Beauty),US,1900,"Flesh tender, juicy, subacid. Use October - January.",Eating
Claygate Pearmain,England,1821,"Suitable for northerly, cold, wet climates: rich, nutty flavor. FCC from RHS in 1921. W 67-70, H 59-67. Stalk 10–18 mm. Pick early October. Use December - February.",Eating
Clayton,US,1850,"W 84, H 70. Stalk 14 mm. Flesh yellow, subacid. Use November - March.",Cooking
Cleopatra see Ortley,,,,
Clivia,East Germany,1964,"Geheimrat Dr. Oldenburg × Cox's Orange Pippin. W 64-80, H 56, We 100-183. Stalk 15 – 30 mm. Use December - April.",Eating
Close,US,1928,"A greenish - yellow apple with red stripes. H 72, W 75. Pick August. Use August.",Eating
Cludius Herbstapfel,Germany,1860,"A green apple. W 80, H 64. Flesh juicy, subacid. Pick September. Use September.",Eating
Cockle Pippin,England,1800,"A greenish yellow apple. W 62, H 59. Stalk medium. Flesh, firm, white, dry, sweet. Pick early October. Use December - March.",Eating
Coffelt,US,,"Flesh whitish, firm, tender, juicy, subacid, good. Use January - May.",Eating
Cogswell(syn. Cogswell Pearmain),Ct. US,1755,"W 84, H 63. Stalk 16 mm. Flesh yellow, juicy, subacid, aromatic. Use December - March.",Eating
Collamer,US,1895,A sport of Twenty Ounce,
Collins,Arkansas,1895,"W 78, H 59. Stalk 19 mm. Flesh white, crisp, firm, subacid, fair to good. Tree vigorous. Use January - June.",Eating
Colton,Mass. US,1840,"A yellow apple. Flesh juicy, mild subacid. Use August.",Eating
Colvert,US,1850,"A large apple. Flesh white, juicy, subacid. Use October - November.",Eating
Conard,US,Introduced 1935,"P Ben Davis x Jonathan. Ripens 1 week after Jonathan. Tree vigourous, resistant to disease.",Eating
Constantine,Europe,1873,"Constantine is very similar to Alexander, but ripens later and keeps longer. Flesh, white, firm, coarse, tender, juicy, subacid, fair to good. Use September - November.",Eating
Cook´s Favorite,US,1850,"Flesh yellow, subacid. Stalk long. Use September.",Cooking
Cooper,US,1796,"W 86, H 65. Stalk 18 mm. Flesh juicy, subacid, vinous, sweet. Good. Use October - December.",Eating
Cooper Early White,Illinois ? US,1870,"Flesh white, crisp. Use September - October.",Eating
Cooper Market,New Jersey ? US,1804,"Tree vigorous. Flesh white, tender, subacid, fair to good. Use December - May.",Eating
Cornell Fancy,US,1870,"Stalk medium. Flesh white, tender, crisp, juicy, subacid. Very good. Tree vigorous.",Eating
Cornish Aromatic,England,,"Large yellow. High-quality dessert apple. W 64-77, H 58-69. Stalk 18–21 mm. Pick mid October. Use December - March.",Eating
Cornish Gilliflower,England,1813,"Discovered as accidental seedling. Shy bearer. W68-70, H 68-70. Stalk 18 mm. Flesh yellow, sweet. Pick mid October. Use November - March.",Eating
Coronation,England,1902,"A yellow apple with red flush(50-75%). W 81, H 63. Stalk long. AM from RHS in 1902. Flesh white, soft, dry, sweet. Pick mid September. Use September - December.","Cooking, Eating"
Cortland,US,1899,"Pale crisp flesh. W 73, H 57. Classic red coloration, nice crunch. P Ben Davis x McIntosh. Tree early and annual bearer, very hardy. Ripens in October in state of origin.",Eating
Cosmic Crisp,United States,1997,Became available commercially in 2019. A combination of Enterprise and Honeycrisp apples.,Eating
Cottenham Seedling,England,1923,"P Dumelow x unknown. W 80, H 67. Stalk short to medium. Flesh white, firm, juicy, acid. Pick late September. Use November - March.",Cooking
Coulon Reinette see Reinette Coulon,,,,
Court Pendu Plat,France,1613,"Extremely old variety, may date from as early as Roman times. W 61, H 45. Stalk 10 mm. Popular during the Victorian era. Yellow to light green, flushed with red.Pick mid October. Use December - April.",Eating
Cowan´s Seedling,England,,"A small apple, yellow with red flush. Stalk very short. Flesh juicy, sweet, pleasant flavour. Use October.",Eating
Cowarne Quoining,England,1826,"H 65, W 65. Stalk short and slender. Flesh juicy, sweet and of good flavour. Use January - March",Eating
Cox's Orange Pippin,England,1829,"One of the most celebrated apples in the United Kingdom, valued for its aromatic ""orange"" color and flavor. W 60, H 48, We 85-100. Stalk 10 mm. The fruit is widely sold commercially. Mainly grown in United Kingdom, Belgium and the Netherlands but also grown for export in New Zealand. Use October - February.",Eating
Cox Pomona,England,1825,A large five crowned apple. Raised by Richard Cox. Parentage Alexander x unknown. Mainly grown in Denmark and Sweden.,"Eating, Cooking"
Cranberry Pippin,US,1840,"Large yellow apple with red flush. Flesh white, juicy, subacid. Use November - February.",Cooking
Crawford(syn. Crawford Keeper),US,1850,"Flesh yellow, tender, juicy, subacid. Use February - April.",Eating
Crawley Beauty,England or France,1870,"A pale green cooking apple. W 58, H 45. Stalk 15–20 mm. At maturity yellow with orange-red flush. Award of Merit from Royal Horticultural Society in 1912. Pick mid October. Use December - March.",Cooking
Creek,Pa. US,1870,"Flesh white, tender, juicy, subacid. Very good. Tree vigorous. Use December- March.",Eating
Cripps Pink ('Pink Lady'),Australia,1970,"Crisp, very sweet and slightly tart. Light red, pink and light yellow-green striped skin.","Cooking, Eating"
Crispin,Japan,1930,See Mutsu,Eating
Crimson Delight,United States,,"Crimson Delight is a multi-purpose apple intended for snacking, baking and fresh recipes. The fruit size is medium to large with a firm texture and is crisp and juicy.","Eating, Baking etc."
Crimson Gold,California,1944,A golf ball sized applecrab hybrid developed by Albert Etter who named it Little Rosybloom for its cute size and attractive ruby red flush. He died before completing the patent papers. Fruit was later rediscovered and renamed. Very crispy and keeps texture in baking.,"Eating, Baking etc."
Crimson Queening,England,1831,"A grennins yellow apple flushed (50-75%) crimson. W 73, H 73. Stalk variable. Flesh greenish white, soft, sweet, juicy, subacid. Pick early September. Use September - October.",Cooking
Crispin see Mutsu,,,,
Criterion,New York,1898,"One of parents believed to be Ben Davis, but very tart unlike parent. Dark red skin underlain with stripes.","Cooking, Eating"
Croncels,France,1869,"Round oblong. Pale milky yellow with occasional slight flush. Flesh pale yellow, tender, very juicy. Use September, October. W 80, H 67, We 195.",Eating
Cullasaga,US,1858,"Flesh yellow, tender, juicy, sweet flavor. Use January - April.",Eating
Curl Tail,England,1872,"A yellow apple. W 70, H 62. Stalk short. Flesh white, soft, dry, subacid. Pick mid September. Use October- December.",Cooking
Dakota Beauty,US,Introduced 1944,,
Daniel,US,1850,"A delightful dessert apple. Flesh subacid, aromatic. Use September",Eating
Danziger Kantapfel,Germany,1760,"A yellow apple with red overcolour. W 63, H 58 Pick October. Use October - December.","Cooking, Eating"
D'Arcy Spice agm,England,1785,"A medium-sized apple with yellow-green skin, a red blush where exposed to the sun and covered with an spotty ochre russet. White flesh is aromatic, firm and crisp with noticeable hints of anise and clove. W 67, H 58-61. Stalk 12 mm. Pick late October. Use December - April.",Eating
Davey,US,Introduced 1950,"P McIntosh x unknown. Tree bears earlier and more regularly than Baldwin, resistant to scab.",Eating
Deacon Jones,US,1890,"Large oblong-conic, ribbed. Yellow with red flush. Tree vigorous. Flesh yellow, firm, coarse, crisp, tender, juicy, mild subacid, aromatic, fair to good. Use November - March.",Eating
Dean´s Codlin,England ?,1844,"A large apple W 91, H 74. Stalk 15 mm. Use December - March.",Cooking
Delawine,US,Introduced 1948,P Delicious x Stayman Winesap. Flesh juicy and flavor of Stayman Winesap. Tree strong grower.,
Delblush,France,1979,"Tentation delblush, Golden Delicious × Grifer",Eating
Delcon,US,Introduced 1948,"P Conrad x Deliciious. Tree dwarf tendency, heavy producer.",Eating
Delcorf,France,1960,"Delbarestivale delcorf,Golden Delicious × Stark Jonagrimes",Eating
Delfloga,France,2008,"Delbardivine delfloga,Royal Gala Tenroy × Florina, scab resistant",Eating
Delflopion,France,,"Sampion × Florina, scab resistant",Eating
Delicious,US,1880,"W 69, H 68. Stalk medium. Flesh white, juicy, sweet, atromatic. Pick mid October. Use December - March.",Eating
Delrouval,France,1995,"Cybèle delrouval,Delcorf × Akane",Eating
Deltana,France,2010,"Delbard Celeste deltana,(Golden Delicious × Grive Rouge) × Florina, scab resistant",Eating
Democrat,US,1869,"A yellow apple striped and splashed with red. W 77, H 70. Stalk 24 mm. Flesh juicy, subacid. Very Good. Use December - March.",Eating
Detroit Red(syn. Detroit),US ?,1820,"Flesh, white, crisp, juicy, subacid. Good. Use October - February.",Eating
Deutsher Goldpepping(syn. Pomme d`Or d`Allemange,Germany,1833,"A yellow apple. W 59, H 47. Stalk 14 mm. Use January - April.","Eating, Cooking"
Devonshire Quarreden,France?,1685,"Possible French parentage or ancestry. Crimson red peel. Juicy. W 51-64, H 38-48. Stalk 15 mm. Flesh greenish-white, crisp, juicy, sweet. Pick late August. Use late August - early September.",Eating
Dewdney´s Seedling,England,1850,"Large, irregular, late cooking apple. Flesh juicy, acid. W95, H80. Stalk very short. Pick late August. Use October - January.",Cooking
Diamond Jubilee,England,1901,"A yellow apple. AM from RHS in 1901. Flesh firm, white, good. Use January - March.","Eating, Cooking"
Discovery agm,England,1949,"P Worcester × Beauty of Bath. W 66, H 48. Stalk 10 mm. Sharp, sweet flavour. Fruits are sold commercially in the United Kingdom. Pick mid August. Use mid August - mid September.",Eating
Doctor,US,1817,"Flesh tender, juicy, aromatic, subacid. Good. Use October - January.",Eating
"Domine(syn. Hogan, Wells, Cheat)",US,1831,"W 74, H 56. Stalk 29 mm. Flesh exceedingly tender and juicy. Use December - April.",Eating
Domino,Nottinghamshire ? England,,"Oblong, rounded, irregular. Pale yellowish green. W 64 H 70. Stalk short. Flesh crisp, acid.",Cooking
"Domnesc(syn. Pomme de Moldavie, Herrenapfel)",Moldova,1800,"W 100, H 70-80, We 170-210. Flesh, juicy, sweet sour. Pick September. Use October - January.",Eating
Dorsett Golden,Bahamas,1964,"Grown from chance seedling of Golden Delicious. Yellow with (10-40%) red flush. Flesh sweet, subacid, good. Tree vigorous. One of the most southerly apples grown in North America.",Eating
Double Red Baldwin,New Hampshire,1924,Mutation of Baldwin. Darker red than Baldwin,Eating
Double Red Delicious see Starking.,,,,
Double Red Duchess see Red Duchess.,,,,
Double Red McIntosh see McIntosh Rogers.,,,,
Double Red Rome Beauty,US,1925,Mutation of Rome Beauty.,Eating
Double Red Wealthy,US,1933,Dark red mutation of Wealthy.,Eating
Double Red Willow Twig,US,1927,Dark red mutation of Willow Twig,Eating
Dougherty/Red Dougherty,New Zealand,1930,Red Dougherty is a recent mutation discovered in New Zealand from the old Australian Dougherty.,Eating
Downton Pippin,England,1806,A dessert apple of first-rate quality. Use November to January. H 44 W 54. Parentage: Orange Pippin x Golden Pippin.,Eating
Drakenstein,South Africa,Introduced 1981,"Round, bright red. P (Wemmershoek x Granny Smith) x Richared Delicious. Tree vigorous.",Eating
"Duchess of Oldenburg(syn. Charlamowsky, Borowinka)",Russia,1750,"Has red stripes with splashes of green. Excellent resistance to freezing temperatures. Stalk 20 mm. W 71-76, H 58-68.","Cooking, Eating"
Duchess´s Favourite,England,1800,"A yellow apple with red flush. W 58, H 61. Stalk 12 mm. Flesh white, acid. Pick late August. Use August - September.",Eating
Dudley Winter,US,,"A medium-sized oblate apple with greenish-yellow skin covered with red stripes over a solid red blush. Flesh is firm but tender, juicy, aromatic and quite tart, becoming milder as it ages. Good for fresh eating and cooking; rated by many as one of the best for apple pies and sauces. Tree is a natural semi-dwarf, very hardy and bears heavily annually.","Cooking, Eating"
